trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.10500000000000001, 'e': 0.9989505510571132}",30,0,24.533856724482447,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.11000000000000001, 'e': 0.997802418226309}",25,0,-69.9290983728557,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
3,False,"{'a': 0.11500000000000002, 'e': 0.9965559444119613}",20,0,-6.681629148101322,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,False,"{'a': 0.12000000000000002, 'e': 0.9952115015900972}",35,0,-176.7752883077725,"{0: 24, 1: 1, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.12500000000000003, 'e': 0.9937694906233947}",20,0,-57.92282255866706,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.13000000000000003, 'e': 0.9922303410619892}",20,0,-79.90396623345772,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.13500000000000004, 'e': 0.9905945109302244}",25,0,-42.45642784088407,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.14000000000000004, 'e': 0.9888624864995005}",20,0,-137.80243416540296,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.14500000000000005, 'e': 0.9870347820473712}",30,0,-62.33468425662388,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.15000000000000005, 'e': 0.9851119396030626}",20,0,-23.92174632623645,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.15500000000000005, 'e': 0.983094528679587}",20,0,-55.84130866865983,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.16000000000000006, 'e': 0.9809831459926365}",20,0,-176.93431054780643,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.16500000000000006, 'e': 0.9787784151664533}",25,0,-42.725729797037616,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.17000000000000007, 'e': 0.9764809864268769}",20,0,-101.25611910804308,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.17500000000000007, 'e': 0.9740915362817815}",25,0,-174.06896966681026,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
16,False,"{'a': 0.18000000000000008, 'e': 0.9716107671891228}",20,0,-147.45781168377246,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
17,False,"{'a': 0.18500000000000008, 'e': 0.9690394072128212}",20,0,-138.20155691364667,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.19000000000000009, 'e': 0.9663782096667205}",30,0,-71.65919906020616,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.1950000000000001, 'e': 0.9636279527468611}",25,0,-90.9882244849848,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.2000000000000001, 'e': 0.9607894391523232}",20,0,-114.19177734399547,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.2050000000000001, 'e': 0.9578634956948966}",30,0,-234.26954125973072,"{0: 18, 1: 0, 2: 7, 3: 1, 4: 4}",0
22,False,"{'a': 0.2100000000000001, 'e': 0.9548509728978424}",25,0,-40.0436394081203,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
23,False,"{'a': 0.2150000000000001, 'e': 0.9517527445840203}",20,0,9.439586475824559,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.2200000000000001, 'e': 0.9485697074536594}",20,0,-81.84442626031974,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
25,False,"{'a': 0.22500000000000012, 'e': 0.9453027806520594}",25,0,-28.457635293547387,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.23000000000000012, 'e': 0.941952905327512}",25,0,-128.88464924434854,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
27,False,"{'a': 0.23500000000000013, 'e': 0.9385210441797412}",25,0,-72.90242537408504,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.24000000000000013, 'e': 0.9350081809991664}",25,0,-69.57513147672242,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
29,False,"{'a': 0.24500000000000013, 'e': 0.9314153201972937}",25,0,-248.44980807105733,"{0: 10, 1: 0, 2: 10, 3: 2, 4: 3}",0
30,False,"{'a': 0.2500000000000001, 'e': 0.9277434863285529}",20,0,-88.72327192700263,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.2550000000000001, 'e': 0.9239937236038952}",20,0,-30.607453020454706,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
32,False,"{'a': 0.2600000000000001, 'e': 0.9201670953964766}",25,0,-42.45306546325996,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
33,False,"{'a': 0.2650000000000001, 'e': 0.9162646837397528}",20,0,-94.73703185830057,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.27000000000000013, 'e': 0.9122875888183186}",25,0,-109.08112641673746,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
35,False,"{'a': 0.27500000000000013, 'e': 0.9082369284518238}",20,0,3.2945841461193677,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
36,False,"{'a': 0.28000000000000014, 'e': 0.9041138375723072}",20,0,-58.86343327341239,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.28500000000000014, 'e': 0.8999194676952875}",20,0,-19.206500132960702,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
