trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",35,21,-37.493076754391915,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.98}",25,0,-119.42654003401984,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-84.34508794297754,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",25,15,-38.3348900911752,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-130.57708818842752,"{0: 11, 1: 3, 2: 1, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-85.49826445451913,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-166.99525167838038,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-168.51635257806154,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-76.0720943753704,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,5,-145.49454396909522,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-102.27715528823484,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-118.18941512770138,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-72.56344464833052,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-116.74610851825116,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-91.05235474127937,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-15.607120157252456,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-90.16066009371968,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-107.00283964060203,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",35,0,-108.14483247513758,"{0: 25, 1: 1, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-267.2759709858247,"{0: 15, 1: 2, 2: 7, 3: 2, 4: 4}",0
1,True,"{'a': 0.5, 'e': 0.7899999999999998}",25,0,-152.68486815492295,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-195.1693086783684,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-51.239314980690864,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-177.74758194956266,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-70.7802336886822,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 0.7399999999999998}",30,8,-90.73285564042416,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-54.0448591859959,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-127.57877447738679,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-142.0321798539785,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 0.6999999999999997}",25,8,-66.85078776144651,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
